Brand,Year of Manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price
MERCEDES-BENZ,2015,Nigerian Used,61515,3500,Petrol,Automatic,"?14,560,000.00"
TOYOTA,2012,Nigerian Used,47180,2700,Petrol,Automatic,"?14,560,000.00"
TOYOTA,2011,Foreign Used,185047,2500,Petrol,Automatic,"?4,200,000.00"
TOYOTA,2009,Foreign Used,127674,2700,Petrol,Automatic,"?7,140,000.00"
LEXUS,2007,Foreign Used,110621,2500,Petrol,Automatic,"?4,095,000.00"
LEXUS,2008,Foreign Used,73213,2500,Petrol,Automatic,"?3,360,000.00"
LEXUS,2004,Foreign Used,272206,4700,Petrol,Automatic,"?11,440,000.00"
LEXUS,2008,Foreign Used,227424,2500,Petrol,Automatic,"?4,472,000.00"
LEXUS,2006,Nigerian Used,160209,2500,Petrol,Automatic,"?4,160,000.00"
MERCEDES-BENZ,2017,Foreign Used,62879,2000,Petrol,Automatic,"?13,650,000.00"
MERCEDES-BENZ,2011,Nigerian Used,101316,3500,Petrol,Automatic,"?5,720,000.00"
LEXUS,2006,Nigerian Used,210014,4700,Petrol,Automatic,"?4,160,000.00"
MERCEDES-BENZ,2015,Nigerian Used,61515,3500,Petrol,Automatic,"?14,560,000.00"
TOYOTA,2015,Nigerian Used,37591,3500,Petrol,Automatic,"?12,480,000.00"
MERCEDES-BENZ,2009,Foreign Used,232438,3500,Petrol,Automatic,"?6,300,000.00"
TOYOTA,2011,Foreign Used,317231,2400,Petrol,Automatic,"?4,472,000.00"
TOYOTA,2012,Foreign Used,325938,2500,Petrol,Automatic,"?5,250,000.00"
MERCEDES-BENZ,2012,Foreign Used,148637,3500,Petrol,Automatic,"?13,000,000.00"
TOYOTA,2009,Nigerian Used,149599,3500,Petrol,Automatic,"?5,200,000.00"
TOYOTA,2015,Foreign Used,354563,2400,Petrol,Manual,"?15,750,000.00"
LEXUS,2007,Foreign Used,260907,3500,Petrol,Automatic,"?3,885,000.00"
TOYOTA,2011,Foreign Used,89330,3500,Petrol,Automatic,"?7,875,000.00"
ACURA,2007,Foreign Used,196814,3700,Petrol,Automatic,"?3,570,000.00"
LEXUS,2006,Nigerian Used,157518,3300,Petrol,Automatic,"?4,160,000.00"
TOYOTA,2016,Foreign Used,149753,2500,Hybrid,Automatic,"?5,985,000.00"
